2) 3.140656, 0.9997018539024393, 785164
3) 4.188344, 0.9998934764539218, 523543
4) 4.918464, 0.9966891883644545, 307404
5) 5.27968, 1.0030189253489585, 164990
6) 5.158592, 0.9982350450889645, 80603
7) 4.710784, 0.9970407062658344, 36803
8) 4.082432, 1.0058441872309316, 15947
9) 3.30752, 1.0027318699227434, 6460
10) 2.545664, 0.9982353919955825, 2486
11) 1.826816, 0.9695940972169483, 892
12) 1.347584, 1.0092275703575408, 329
13) 0.827392, 0.9085941945649496, 101
14) 0.671744, 1.1209473732098854, 41
15) 0.360448, 0.9449583152232007, 11
16) 0.393216, 1.6709087100150217, 6
17) 0.0, 0.0, 0
18) 0.0, 0.0, 0
19) 0.0, 0.0, 0
20) 0.0, 0.0, 0
